Site,Observed,Predicted
2000,5,17.01054085460036
2001,13,17.454808132855888
2002,14,17.20745878668927
2003,4,17.430634735696422
2004,23,16.884721931020312
2005,1,16.089789295392237
2006,13,15.596060524988054
2007,13,15.961671466220006
2008,4,15.828349207829918
2019,5,16.524454513226612
2020,14,15.528207057832732
2021,14,15.690657716009584
2022,9,15.601738276245879
2023,10,15.60395733747327
2024,5,15.578696989220305
2025,13,15.791916673569133
2026,22,16.749193608919448
2027,13,16.166234765676048
2028,26,16.70563723731071
2035,15,18.14426085625623
2036,8,17.858516637046733
2037,28,17.10334830421568
2038,7,17.50542958588807
2039,7,16.708232283663055
2040,20,16.949895360485414
2041,3,17.158538301618943
2042,12,15.641169074108268
2043,26,15.507904182983893
2044,5,15.800453748572611
2045,5,15.359713477067913
2062,3,18.438173646480134
2063,4,16.435790913917128
2064,18,16.364434314725475
2065,5,16.230317798641806
2066,7,16.258817152300406
2067,19,16.49150333358889
2068,3,16.19369362986588
2069,3,14.238086313854533
2070,23,14.320537262340805
2071,4,14.428241440997743
2072,7,14.217520224996473
2073,4,15.289765886802972
2074,21,15.133657002283156
2075,11,15.376364831608965
2076,9,15.539043381959209
2077,24,15.284284165176775
2078,10,17.215478930311452
2084,13,17.554259562667404
2085,10,17.4359970179997
2086,13,17.37207001492851
2087,21,17.488633386701114
2088,5,17.16365572994684
2101,18,17.355403888633628
2102,13,17.47131680688394
2103,17,17.386123979667396
2104,15,17.506192751339405
2105,22,15.154657806799332
2106,19,15.140434710981376
2113,15,16.39893261626492
2114,14,17.149460780240393
2115,14,17.75021303362158
2116,26,17.200907032733483
2117,14,17.273716611666167
2122,24,17.59879673736302
2123,6,16.990288145107137
2124,10,17.215473481870273
2125,9,16.809674665850586
2126,5,16.698052134288808
2127,20,17.060222597234723
2128,16,16.616625821477626
2129,11,16.27541663044664
2130,10,16.188318685329214
2131,10,16.568760072693863
2132,2,16.270241264278475
2133,17,16.27769904907483
2134,26,17.726229356876242
2135,21,18.206028479108767
2136,6,17.958852317128887
2137,10,14.218793699981276
2138,18,14.708802437424254
2145,21,17.76742395887493
2146,11,17.695262175521066
2147,9,17.740468653544777
2148,28,17.834534942112782
2149,30,17.529518624908356
2150,14,17.886009238963084
2151,5,17.47142453231431
2152,20,17.753729197276716
2153,20,17.325701996318053
2154,24,17.69348489545667
2155,18,18.075276291917
2156,13,17.931234693316515
2157,18,17.963900066687998
2158,8,18.011665902922367
2159,14,18.034151612548207
2160,23,18.77086102635165
2172,19,13.531554657492574
2173,5,13.582489728719159
2174,17,14.599762054820697
2175,5,13.76844611801901
2176,15,18.71500870094978
2177,19,18.27217594431866
2226,4,20.957742435034532
2227,15,20.802307378087946
2228,22,20.68995054545219
2229,18,21.467775647692815
2230,27,21.641476314876343
2247,2,19.80324767164843
2248,20,21.292409554612423
2249,21,21.19165896181393
2250,9,21.105859024979374
2251,22,21.407917424584074
2286,20,19.92312365429895
2287,13,19.92204759281128
2288,20,20.128901927980834
2289,14,23.243248007537858
2290,16,22.813368655150246
2291,15,22.966655387358205
2292,16,22.74423768610808
2293,11,22.979576305814778
2294,13,13.995726324015335
2295,20,13.744119931652389
2296,13,14.09660252185917
2313,21,21.652152277518198
2314,7,21.483470075829402
2315,4,21.28262147973284
2316,16,21.481546917994162
2326,19,14.189229087653617
2327,13,14.482481700032885
2328,23,14.601969515324544
2329,14,22.465958084400256
2330,6,22.00986274250375
2331,11,22.359240397631464
2332,24,22.479843770325765
2333,11,22.356702314885574
2334,24,23.066157836285495
2335,19,23.397806170772046
2336,5,22.924699332713974
2337,14,23.187522973313513
2338,12,22.949126718952765
2339,15,22.98421073746302
2340,10,22.959075957173198
2341,14,22.82310365381713
2342,8,22.77019703806018
2351,13,23.929786781576905
2352,1,24.36607196791861
2353,13,24.534144845422333
2354,15,24.479451242840735
2355,12,24.964853096592538
2356,6,24.47899798035816
2376,18,23.533682139463203
2377,11,23.276008877404625
2378,13,23.188616261841354
2379,8,23.382465389692342
2380,21,23.29621366618046
2392,17,24.279965206088885
2393,8,24.11389350993112
2394,12,23.675367635264468
2395,20,23.948368242531796
2451,4,25.583918246790645
2452,20,25.34137238962386
2453,24,25.49533355245091
2454,10,25.462142129319954
2455,11,24.917505371638498
2456,3,24.827436885948327
2457,21,24.481142126467805
2458,21,24.746188335138644
2459,9,24.478879533100425
2460,16,25.379355649220447
2523,11,23.250602359914094
2524,13,26.214060001615856
2525,7,25.599869887854513
2541,2,26.039871041073976
2542,20,26.13158935309515
2543,27,24.847859936217063
2544,7,24.717235380025695
2545,7,27.105438339678162
2551,14,13.4821558848565
2552,9,14.018103489577136
2553,8,14.071018623687062
2554,11,13.524816749896917
2555,19,13.633370358073398
2556,14,14.351770291635148
2557,12,14.341189047258693
2558,3,14.567301684085367
2559,9,14.346271380732713
2560,18,14.393336072372543
2566,13,14.247296579116384
2567,10,14.205114369243793
2568,2,14.115568117182379
2574,3,14.320768457450333
2575,23,14.076449532832232
2576,9,14.078058643364205
2577,4,13.695929388661717
2578,5,14.005272984834951
2579,20,13.592871529906635
2603,25,13.758701296786558
2604,13,14.339459090944791
2605,19,13.851800503039964
2645,1,14.494001512884886
2646,12,14.82930786394985
2647,2,14.707143561590266
2648,9,14.36383317054046
2674,14,14.841733123544836
2675,18,15.067595379549912
2676,23,15.653007980614326
2677,10,15.114145907177098
2678,3,15.015597129345933
2679,18,14.903018798445988
2680,7,14.881510647416137
2681,18,15.06543280916048
2682,18,15.255408596992336
2683,19,14.759969045824501
2684,5,14.56233304853777
2685,12,14.351220217473335
2686,10,14.645527107282097
2687,16,14.364030631904736
2688,21,14.450627220417365
2689,8,14.652524374327397
2690,16,14.461442290684156
2691,14,14.39856194853889
2692,20,14.885787377919865
2693,19,15.235774591752527
2694,6,15.243962817036804
2695,15,15.498799175601603
2702,9,15.548793297030706
2703,12,14.031291534426314
2704,19,14.431252653202376
2705,10,14.60744531679208
2706,6,14.552749228952433
2707,19,14.647695828171688
2738,12,15.008877603379524
2739,16,15.924016294979209
2740,16,15.730402635554233
2741,19,15.766673280339583
2742,11,15.977929464101635
2743,3,15.780213827297038
2744,10,13.581557205024462
2745,13,13.80106233251807
2746,15,13.550059544241627
2747,11,13.680295850049779
2748,6,13.489833884768796
2749,10,13.441453727545294
2750,12,15.190949471357406
2755,13,17.129757127605792
2756,15,16.362199070819905
2757,26,16.603365761091236
2762,10,15.444037938503344
2763,24,15.560147332875802
2764,28,15.806035920104456
2765,1,15.776928390474282
2783,5,16.192206114980873
2784,11,15.934325254884618
2785,3,15.923000206736406
2786,15,16.13902277952057
2787,26,15.90288583307081
2788,3,15.7320446641567
2789,19,15.864654872234762
2790,18,16.398323574972128
2791,10,15.850867939702555
2792,19,16.61207196856304
2804,13,16.046920134581853
2805,6,16.193450333876953
2806,4,16.089178317566567
